lat_lon,county

47.7456.-102.746,MCKENZIE

47.925.-98.7879,BENSON

48.8367.-99.7269,ROLETTE

47.9931.-98.8865,BENSON

47.925.-98.8129,BENSON

48.8344.-99.9197,ROLETTE

48.85.-100.0212,ROLETTE

46.0997.-100.6615,SIOUX

47.9675.-98.8344,BENSON

47.9767.-99.1379,BENSON

47.9814.-99.0103,BENSON

47.9042.-98.8168,BENSON

48.8333.-99.7254,ROLETTE

47.7375.-102.1836,MCLEAN

48.8292.-99.9129,ROLETTE

47.9906.-98.8731,BENSON

48.8506.-99.904,ROLETTE

46.4028.-100.6257,SIOUX

47.9417.-99.0735,BENSON

46.0844.-100.631,SIOUX

47.1041667.-103.423056,BILLINGS

47.9894.-98.8664,BENSON

48.9111.-99.7615,ROLETTE

48.868.-99.7192,ROLETTE

48.8364.-99.7736,ROLETTE

47.7333.-102.7341,MCKENZIE

48.8122.-100.0746,ROLETTE

47.975.-98.9879,BENSON

47.8.-98.9504,EDDY

47.98.-98.8682,BENSON

46.09078.-100.66614,SIOUX

47.8683.-98.8875,BENSON

48.8544.-99.98,ROLETTE

48.0507.-100.3801,MCHENRY

46.2539.-100.9433,SIOUX

47.9847.-99.1037,BENSON

46.1711.-100.6808,SIOUX

47.9697.-98.9322,BENSON

48.6875.-99.8171,ROLETTE

48.8186.-99.8579,ROLETTE

46.66666667.-100.36666667,BURLEIGH

47.985.-98.871,BENSON

48.8336.-99.7478,ROLETTE

47.32833333.-103.44527778,BILLINGS

48.8361.-99.7365,ROLETTE

46.0867.-100.6289,SIOUX

48.8764.-100.0182,ROLETTE

47.7294.-102.6769,MCKENZIE

47.9575.-99.0808,BENSON

48.025.-98.8393,BENSON

48.8678.-99.71,ROLETTE

46.1033.-100.639,SIOUX

47.92.-98.8189,BENSON

48.8478.-99.7347,ROLETTE

48.848.-99.8092,ROLETTE

48.8375.-99.7379,ROLETTE

47.569.-101.26,MCLEAN

47.9792.-98.8851,BENSON

48.813.-99.733,ROLETTE

47.9944.-98.8893,BENSON

47.9889.-98.9726,BENSON

48.5269.-100.499,MCHENRY

47.9667.-98.9287,BENSON

47.9875.-98.8754,BENSON

48.8317.-99.7467,ROLETTE

46.1033.-100.6312,SIOUX

48.0194.-98.8726,BENSON

